,User_id,Item_id,Rating,user,item,rating
0,U000001,['H000021'],1.0,0,28,1.0
1,U000002,['H001054'],2.5,1,1366,2.5
2,U000003,['H001054'],2.5,2,1366,2.5
3,U000004,['H001054'],2.5,3,1366,2.5
4,U000005,['H001054'],2.5,4,1366,2.5
5,U000006,['H001100'],4.0,5,1418,4.0
6,U000007,['H001100'],4.0,6,1418,4.0
7,U000008,['H001074'],3.0,7,1389,3.0
8,U000009,['H000193'],4.0,8,238,4.0
9,U000010,['H000194'],4.0,9,239,4.0
10,U000011,['H000328'],5.0,10,393,5.0
11,U000012,"['H000327', 'H000252']",4.55,11,392,4.55
12,U000013,['H000786'],4.0,12,1005,4.0
13,U000014,"['H000584', 'H000074']",4.5,13,739,4.5
14,U000015,['H000584'],4.0,14,744,4.0
15,U000016,['H000584'],4.0,15,744,4.0
16,U000017,['H000584'],4.0,16,744,4.0
17,U000018,['H000584'],4.0,17,744,4.0
18,U000019,['H000584'],4.0,18,744,4.0
19,U000020,['H000584'],4.0,19,744,4.0
20,U000021,['H000584'],4.0,20,744,4.0
21,U000022,['H000584'],4.0,21,744,4.0
22,U000023,['H000584'],4.0,22,744,4.0
23,U000024,['H000584'],4.0,23,744,4.0
24,U000025,['H000584'],4.0,24,744,4.0
25,U000026,['H000584'],4.0,25,744,4.0
26,U000027,['H000584'],4.0,26,744,4.0
27,U000028,['H000584'],4.0,27,744,4.0
28,U000029,['H000584'],4.0,28,744,4.0
29,U000030,['H000584'],4.0,29,744,4.0
30,U000031,['H000584'],4.0,30,744,4.0
31,U000032,['H000584'],4.0,31,744,4.0
32,U000033,['H000584'],4.0,32,744,4.0
33,U000034,['H000584'],4.0,33,744,4.0
34,U000035,['H000584'],4.0,34,744,4.0
35,U000036,"['H000584', 'H000252']",4.05,35,740,4.05
36,U000037,['H000584'],4.0,36,744,4.0
37,U000038,['H000584'],4.0,37,744,4.0
38,U000039,"['H000584', 'H000394']",2.75,38,741,2.75
39,U000040,['H000584'],4.0,39,744,4.0
40,U000041,['H000584'],4.0,40,744,4.0
41,U000042,['H000584'],4.0,41,744,4.0
42,U000043,['H000584'],4.0,42,744,4.0
43,U000044,['H000584'],4.0,43,744,4.0
44,U000045,"['H000584', 'H000983']",4.3,44,743,4.3
45,U000046,['H000584'],4.0,45,744,4.0
46,U000047,['H000584'],4.0,46,744,4.0
47,U000048,['H000584'],4.0,47,744,4.0
48,U000049,"['H000584', 'H000024']",4.0,48,738,4.0
49,U000050,['H000584'],4.0,49,744,4.0
50,U000051,['H000584'],4.0,50,744,4.0
51,U000052,"['H000584', 'H000767']",3.4,51,742,3.4
52,U000053,['H000584'],4.0,52,744,4.0
53,U000054,['H000584'],4.0,53,744,4.0
54,U000055,['H000584'],4.0,54,744,4.0
55,U000056,['H000584'],4.0,55,744,4.0
56,U000057,['H000584'],4.0,56,744,4.0
57,U000058,['H000584'],4.0,57,744,4.0
58,U000059,['H000584'],4.0,58,744,4.0
59,U000060,['H000584'],4.0,59,744,4.0
60,U000061,['H000584'],4.0,60,744,4.0
61,U000062,['H000617'],2.0,61,784,2.0
62,U000063,['H000617'],2.0,62,784,2.0
63,U000064,['H000617'],2.0,63,784,2.0
64,U000065,"['H000081', 'H000039']",3.65,64,112,3.65
65,U000066,['H000048'],5.0,65,73,5.0
66,U000067,['H000264'],5.0,66,319,5.0
67,U000068,['H000264'],5.0,67,319,5.0
68,U000069,['H000264'],5.0,68,319,5.0
69,U000070,['H000264'],5.0,69,319,5.0
70,U000071,"['H000264', 'H000264']",5.0,70,316,5.0
71,U000072,['H000264'],5.0,71,319,5.0
72,U000073,['H000264'],5.0,72,319,5.0
73,U000074,['H000264'],5.0,73,319,5.0
74,U000075,['H000264'],5.0,74,319,5.0
75,U000076,['H000264'],5.0,75,319,5.0
76,U000077,"['H000264', 'H001118']",3.5,76,318,3.5
77,U000078,['H000264'],5.0,77,319,5.0
78,U000079,['H000264'],5.0,78,319,5.0
79,U000080,['H000264'],5.0,79,319,5.0
80,U000081,['H000264'],5.0,80,319,5.0
81,U000082,['H000264'],5.0,81,319,5.0
82,U000083,"['H000264', 'H000509']",4.5,82,317,4.5
83,U000084,['H000264'],5.0,83,319,5.0
84,U000085,['H001214'],4.0,84,1549,4.0
85,U000086,"['H001214', 'H000039']",3.6,85,1548,3.6
86,U000087,['H001281'],5.0,86,1624,5.0
87,U000088,['H001281'],5.0,87,1624,5.0
88,U000089,['H001025'],4.7,88,1328,4.7
89,U000090,['H000779'],4.3,89,993,4.3
90,U000091,['H000336'],4.7,90,404,4.7
91,U000092,"['H000336', 'H000076', 'H000511']",4.9,91,401,4.9
92,U000093,['H000336'],4.7,92,404,4.7
93,U000094,['H000336'],4.7,93,404,4.7
94,U000095,['H000336'],4.7,94,404,4.7
95,U000096,"['H000336', 'H000862', 'H000770']",4.5,95,403,4.5
96,U000097,"['H000336', 'H000555']",4.85,96,402,4.85
97,U000098,['H000336'],4.7,97,404,4.7
98,U000099,['H000336'],4.7,98,404,4.7
99,U000100,['H000336'],4.7,99,404,4.7
100,U000101,['H000336'],4.7,100,404,4.7
101,U000102,['H000336'],4.7,101,404,4.7
102,U000103,['H000336'],4.7,102,404,4.7
103,U000104,['H000336'],4.7,103,404,4.7
104,U000105,['H000970'],5.0,104,1255,5.0
105,U000106,['H000970'],5.0,105,1255,5.0
106,U000107,['H000970'],5.0,106,1255,5.0
107,U000108,['H000970'],5.0,107,1255,5.0
108,U000109,['H000970'],5.0,108,1255,5.0
109,U000110,['H000970'],5.0,109,1255,5.0
110,U000111,['H000970'],5.0,110,1255,5.0
111,U000112,['H000970'],5.0,111,1255,5.0
112,U000113,['H000970'],5.0,112,1255,5.0
113,U000114,['H000970'],5.0,113,1255,5.0
114,U000115,['H000970'],5.0,114,1255,5.0
115,U000116,['H000970'],5.0,115,1255,5.0
116,U000117,['H000767'],2.8,116,975,2.8
117,U000118,['H000767'],2.8,117,975,2.8
118,U000119,['H000767'],2.8,118,975,2.8
119,U000120,['H000767'],2.8,119,975,2.8
